"prix";"ville";"nb_pieces";"surface";"type_bien";"type_logement";"description"
"760";"Paris";"5.0";"";"Logement en résidence";"Logement en résidence";"360° Logement en résidence Kley Créteil à partir de 760€ cc / mois Créteil (94000) 5 chambres - Meublé - Parking - Salle de sport - Cafétéria Idéalement située à Créteil, la résidence Kley Créteil bénéficie d’un réseau de transports performant avec un accès facile à Paris via le RER D à moins de 8min à pied de la résidence, via le métro ligne 8, et de nombreuses lignes de bus. À deux pas des écoles, universités (UPEC, écoles de commerce et d’ingénieurs, instituts paramédicaux) et du centre commercial Créteil Soleil, elle offre un cadre de vie connecté, pratique et stimulant.    Kley Paris-Créteil, c’est une nouvelle manière de vivre la vie étudiante : un coliving moderne avec plus de 500 m² d’espaces intérieurs et extérieurs conçus pour tous les goûts et toutes les envies. Cinéma, patio, baby-foot, coin lounge, cuisine, salle de sport, terrasse ensoleillée… chaque espace invite à la détente, à la rencontre et au partage.  L’équipe sur place propose une grande diversité de logements meublés, du studio individuel, comme des logements plus spacieux de 18 à 29,5 m², pour répondre aux besoins.    Les T5 et T6 en colocation séduisent par leurs espaces communs (terrasse, salon, cuisine collective) tout en garantissant l’intimité de chacun grâce à une chambre et une salle de bains privative.  Chaque logement est neuf et tout équipé, avec une isolation phonique de haute qualité et de grandes fenêtres favorisant la lumière naturelle : un cadre de vie propice au travail, à la détente et au bien-être. Disponible immédiatement"
"720";"Paris";"";"";"Studio";"Studio";"Promotion en cours Logement en résidence Good Morning Créteil à partir de 720€ cc / mois Créteil (94000) Meublé 🏡  À 2min du métro Créteil Préfecture (ligne 8) et Créteil Soleil, vous profitez d’un accès rapide à Paris tout en étant à proximité immédiate des commerces, universités et services, venez découvrir la résidence Good Morning Créteil – Nomad Campus, pensée pour répondre aux besoins des étudiants et jeunes actifs.      📍 Emplacement privilégié  À seulement 2 minutes du métro Créteil Préfecture (ligne 8), vous profitez d’un accès rapide à Paris tout en étant à proximité immédiate des commerces, universités et services.    🛋️ Logements disponibles    Studios meublés et équipés  Appartements T2  Possibilité de colocation jusqu’au T5    ✨ Des appartements prêts à vivre  Chaque logement est entièrement meublé pour faciliter votre quotidien :    Coin cuisine équipé : rangements, table de repas, plaques vitrocéramiques, micro-ondes, réfrigérateur, vaisselle et ustensiles inclus  Coin séjour : bureau et espaces de rangement  Coin nuit : lit (90x200 ou 120x200 selon logement) et table de chevet  Salle de bain privative : douche, vasque, meuble sous-vasque et WC    🌐 Services inclus    Connexion internet gratuite (wifi ou filaire)  Charges incluses  Résidence sécurisée    🌟 Espaces et services premium    Salle de sport 🏋️  Rooftop aménagé 🌇  Cuisine partagée 🍽️  Salle cinéma 🎬  Le Wash Bar, aménagé avec des lave-linges et des sèche-linges¹ connectés, est accessible 24h/24 et 7j/7.    🚇 Les + de la résidence    Métro à 2 minutes à pied  Logements fonctionnels et modernes  Idéal pour étudiants et jeunes actifs  Possibilité de colocation conviviale Disponible immédiatement"
"720";"";"";"";"Logement en résidence";"Logement en résidence";"Logement en résidence Good Morning Créteil à partir de 720€ cc / mois"
"1248";"Paris";"";"";"Logement en résidence";"Logement en résidence";"360° Promotion en cours Logement en résidence Canvas Puteaux La Défense à partir de 1248€ cc 1469€ / mois Puteaux (92800) Meublé - Parking - Salle de sport Appartements all-inclusive, coliving moderne et chaleureux, espaces communs spacieux et exceptionnels, événements toute l'année : Canvas est l’endroit idéal pour rejoindre une communauté internationale et dynamique.    Nos logements neufs, entièrement meublés et équipés, sont situés à proximité des principaux pôles d'activité, de nombreuses écoles, des transports en commun, et à quelques pas du cœur de Paris.    Pourquoi choisir Canvas ?    Appartements de grand standing à deux pas du cœur de Paris  Soyez parmi les premiers à profiter de nos 644 studios et appartements haut de gamme, entièrement meublés, toutes charges incluses (eau, wifi, électricité et Wifi haut débit ), aux vues imprenables sur Paris, la tour Eiffel ou notre jardin.    Espaces communs et services haut de gamme  Bénéficiez d'équipements exclusifs tels qu'une salle de sport high-tech, un rooftop au 11ème et dernier étage avec une vue dégagée exceptionnelle, de vastes espaces de coworking, ainsi que des espaces de détente et de loisirs. Profitez aussi d'un parking sécurisé. Détendez-vous dans notre salle de musique, salle de cinéma, salle de jeux, salle de yoga, ainsi que sur notre terrasse et dans notre jardin privé. La résidence Canvas dispose également d'un parking privé et sécurisé.    Loyer all-inclusive  Sont inclus dans le loyer, l'eau, le chauffage, l'électricité et un accès Internet haut débit, le tout dans des appartements entièrement meublés dotés de mobiliers et équipement modernes, design et fonctionnels. Il n'y a plus qu'à poser vos valises et commencer à profiter de votre nouvelle vie chez Canvas.    Networking et communauté internationale  Canvas vous permettra de bénéficier de la convivialité et de la dynamique d'une résidence avec des étudiants et jeunes actifs du monde entier. De nombreux événements sont organisés tout au long de l'année dans les différents espaces de coliving.    Connectivité à Paris et au-delà  Canvas La Défense est situé à quelques pas des quartiers centraux de Paris, à seulement 6 minutes à pied du quartier d'affaires de La Défense, idéal pour votre carrière, et à proximité de grandes écoles telles que l'Université Paris Nanterre et l'ESSEC Business School. Il offre d'excellentes connexions avec les transports en commun, y compris la ligne 1 du métro, le RER A, les bus et la ligne T2 du tramway, avec un accès rapide au centre de Paris.    Service d'accueil impeccable  Notre équipe d'accueil dédiée est disponible pour répondre à toutes vos attentes et assure une sécurité 24h/24, 7j/7. Utilisez notre application pour gérer tous vos besoins dans la résidence, réserver des salles ou encore suivre l'actualité de la communauté Canvas La Défense.    Bien plus qu'un simple lieu de vie, c'est ici que commence votre aventure parisienne ! Disponible immédiatement"
"745";"Colombes";"6.0";"130.0";"Colocation";"Colocation";"Pro Réservable à la chambre Colocation Colocation Colombes - 130m2 - 6 chambres à partir de 745€ cc / mois Colombes (92700) 130m² - 2 chambres - Meublé Colocation Colombes - 130m2 - 6 chambres  - Grand appartement de 130m2 loi carrez avec 6 chambres  - Visite virtuelle bientôt disponible, dépôt de dossier digital et rapide  - Un loyer charges comprises : eau, internet électricité, chauffage - Eligible aux APL !  L’APPARTEMENT :  - Appartement composé d'une cuisine équipée, d'un séjour/salle à manger, de 6 chambres, un balcon, 2 salles de bains et 1 WC séparé.  - Un grand salon équipé d'une grande TV !  - Entièrement meublée et équipée (liste complète des équipements sur demande)  LOCALISATION ET TRANSPORT :  - Proche commerces et transports  - Proche train ligne J, bus lignes 176, 276  - Avenue Audra 92700 Colombes  Bail classique de colocation  Loyer 670 par personne + 100 charges obligatoires (eau, électricité, internet, chauffage)  Dépôt de garantie : 1 mois de loyer CC  ELIGIBLE APL Disponible immédiatement"
"760";"Colombes";"8.0";"230.0";"Colocation";"Colocation";"Pro Réservable à la chambre Colocation Maison de 230m2 en coliving à Colombes - 8 chambres à partir de 760€ cc / mois Colombes (92700) 230m² - 1 chambre - Meublé Maison de 230m2 en coliving à Colombes - 8 chambres  - Chambre ou studio dispo - Visite virtuelle bientôt disponible, dépôt de dossier digital et facile - Un loyer toutes charges incluses où on s'occupe de toutes les démarches pour toi (voir détail en bas) - Profite de ton espace privé entièrement meublé, au sein d'une grande maison rénovée et équipée - Idéal pour ceux qui veulent télétravailler ou ceux qui veulent découvrir une belle communauté déjà en place et faire des rencontres !!  Tous les détails ci-dessous :  LA MAISON (MIMOSA) : 230 m² avec espaces communs: un espace de vie avec cuisine à l’américaine équipée, salle à manger et salon ; une salle TV ; buanderie, un espace extérieur avec un salon de jardin. 8 chambres et studios disponibles au total.  L'ESPACE PRIVÉ : Chambres ou studio, salle de bains privée, sous réserve de disponibilité. Nos espaces privés sont meublés (lit double, rangements, chaise, bureau, ...) et nous fournissons draps et serviettes !  LOCALISATION :  - La Garenne-Colombes (Ligne L) | 10 min | 🚶🏽 - RER A | 15 min  LES COLOCATAIRES: Entre 19 et 49 ans, plusieurs nationalités différentes, de quoi faire de belles rencontres et repartir avec de beaux souvenirs  LE SUPPORT : Un service support pour répondre à vos questions. Fini les galères à ne plus savoir qui appeler, ou les proprio qui ne répondent jamais !  LES CHARGES INCLUSES DANS LE LOYER : Eau, électricité, chauffage, assurance habitation, internet au débit et ménage des parties communes. On s'occupe aussi des démarches, vous n'aurez rien à faire !  PRIX : A partir de 830 € hors charge. Les charges obligatoires sont l'eau, l'électricité, le chauffage, internet, l'assurance habitation : 150€.  ELIGIBLE AUX AIDES AU LOGEMENT  N'hésitez pas à me contacter ! Disponible immédiatement"
"600";"Paris";"1.0";"";"Colocation";"Colocation";"Réservable à la chambre Colocation Loue chambre privative en colocation à partir de 600€ cc / mois Noisy-le-grand (93160) 84m² - 1 chambre - Meublé COLOCATION MEUBLEE - CITE DESCARTES à 10 minutes à pied – RER A NOISY LE CHAMPS - NOISY LE GRAND    Colocation dans un appartement.     BAIL INDEPENDANT =} aucune solidarité entre les colocataires !!  **************************LOCALISATION**************************************  RER A Noisy-Champs à 6 minutes à pied.  A 10 min à pied des écoles CAMPUS CITE DESCARTES : Université Paris Est Marne la Vallée (UPEM), ESIEE, ENSG, lycée DESCARTES, Ecole architecture (ENSA), Ecole des Ponts et Chaussées (ENPC), Ecole supérieure d’Osthéopatie (ESO Supeosteo).   A 5 min à pied des commerces: boulangerie, supérette G20, boucherie, pharmacie.  A 15 min de Paris (M° Nation), à 19 min de la Gare de Lyon, à 23 min de Châtelet, à 26 min d’Auber.  A 15 min de Val d’Europe et 18 min de DISNEYLAND et la Gare de Chessy MLV TGV.  A 5 min de l’autoroute A4, A199 et à 10 min de l’autoroute A86 et de la N104.  A 15 min du centre commercial des Arcades Noisy le Grand.  A 15 min du Lycée international de Noisy le Grand.  A 30 min des aéroports Orly et Roissy Charles de Gaulle.    Espace de vie et cuisine entièrement équipés (TV, wifi, réfrigérateur avec congélateur, four, micro-ondes, plaques de cuisson, hotte, machine à laver, vaisselle, ustensiles de cuisine, tables et chaises, aspirateur). Internet fibre optique box.  2 salles de bains, 2 WC.  Les chambres sont composées de :  - Lit double 140x200 cm ;  - Bureau avec chaise ;  - Rangements (armoire, placard et/ou étagères) ;  - Serrure individuelle.  Résidence calme et sécurisée. Situé au 6ème étage avec ascenseur, sans vis-à-vis.  Interphone, gardien.  ********************CONDITIONS DE LA LOCATION ****************************  EDF, chauffage, eau chaude et froide, internet).  CAF (APL) possible.  Frais administratifs : 108€ à payer 72 heures après la réservation. Disponible immédiatement"
"600";"Paris";"1.0";"";"Colocation";"Colocation";"Réservable à la chambre Colocation Colocation allée de la FUTAIE à partir de 600€ cc / mois Noisy-le-grand (93160) 82m² - 1 chambre - Meublé COLOCATION MEUBLEE - RER A NOISY CHAMPS    Appartement de 82 m² à Noisy le Grand - A 15 minutes de Paris (Métro Nation), à 19 min du Métro Gare de Lyon, à 23 min du métro Châtelet, à 26 min du métro Auber.     A 10 min à pied des écoles CAMPUS DESCARTES : Université Paris Est Marne la Vallée (UPEM), ESIEE, ENSG, lycée DESCARTES, Ecole architecture (ENSA), Ecole des Ponts et Chaussées (ENPC), Ecole supérieure d’Osthéopatie (ESO Supeosteo). Quartier du Bois de Grâce. Environnement calme (allée piétonne) et verdoyant.  A 5 min à pied des commerces: boulangerie, tabac/journaux, Franprix, pharmacie, cabinet médical, La Poste.  A 5 min à pied des arrêts des bus 213 & 312.  A 15 min de Val d’Europe et 18 min de DISNEYLAND et la Gare de Chessy MLV TGV.   A 5 min de l’autoroute A4, A199 et à 10 min de l’autoroute A86 et de la N104.  A 15 min du centre commercial des Arcades Noisy le Grand.  A 15 min du Lycée international de Noisy le Grand.  A 30 min des aéroports Orly et Roissy Charles de Gaulle.    Espace de vie et cuisine entièrement équipés (TV, wifi, réfrigérateur, congélateur, four, micro-ondes, plaques de cuisson, hotte, machine à laver, vaisselle, ustensiles de cuisine, tables et chaises, aspirateur). Internet fibre optique box.   2 salles de bains, 2 WC.   Les chambres ont une surface d'environ 10 m² Carrez et sont composées de :  - Lit double ;   - Bureau avec chaise ;   - Rangements (armoire, placard et/ou étagères) ;  - Serrure individuelle.  Résidence calme et sécurisée.     Interphone, gardien, garage à vélo.  **************CONDITIONS DE LA LOCATION    Le forfait de charges de copropriété, EDF, chauffage, eau chaude et froide, internet).   CAF (APL) possible. Disponible immédiatement"
"650";"Paris";"";"";"Studio";"Studio";"Studio Studio meublé 650€ cc / mois Paris (75116) 10m² - Meublé Quartier Passy - Studio meublé lumineux rue de la Tour - À 2 min du métro Passy, refait à neuf - WC sur le palier attenant au studio.  Murs blancs avec banquette lit (2 places) + 1 grand Velux plein sud + rangements + douche + cuisine équipée (four à micro-ondes grill, machine Nespresso, bouilloire, frigidaire) + chauffage individuel électrique.     Au 6ème étage AVEC ascenseur jusqu’au 5ème    Bail civil + Caution solidaire demandée + Garantie Studapart + caution de 1200€ + Loyer mensuel par virement, dont charges (électricité non comprise). Disponible immédiatement"
"1200";"";"";"";"Studio";"Studio";"Quartier Passy - Studio meublé lumineux rue de la Tour - À 2 min du métro Passy, refait à neuf - WC sur le palier attenant au studio.  Murs blancs avec banquette lit (2 places) + 1 grand Velux plein sud + rangements + douche + cuisine équipée (four à micro-ondes grill, machine Nespresso, bouilloire, frigidaire) + chauffage individuel électrique.     Au 6ème étage AVEC ascenseur jusqu’au 5ème    Bail civil + Caution solidaire demandée + Garantie Studapart + caution de 1200€ + Loyer mensuel par virement, dont charges (électricité non comprise)."
